kernel,waitcnt_line,kind,population,n_runs,n_matched,n_diverged,n_skip,flip_rate
accum_or_64,253,lgkmcnt,boundary,100,0,100,0,1.0000
accum_sub_64,253,lgkmcnt,boundary,100,1,99,0,0.9900
accum_xor_64,253,lgkmcnt,boundary,100,0,100,0,1.0000
deep_chain_32,169,vmcnt,boundary,100,95,5,0,0.0500
deep_chain_64,168,vmcnt,boundary,100,98,2,0,0.0200
loop_accum_add_16,49,vmcnt,boundary,100,63,37,0,0.3700
loop_accum_add_32,60,vmcnt,boundary,100,52,48,0,0.4800
loop_accum_add_32,62,vmcnt,boundary,100,32,68,0,0.6800
loop_accum_add_32,90,vmcnt,boundary,100,31,69,0,0.6900
loop_accum_xor_32,80,vmcnt,boundary,100,59,41,0,0.4100
loop_accum_xor_32,82,vmcnt,boundary,100,65,35,0,0.3500
accum_add_32,157,vmcnt,random_stable,100,100,0,0,0.0000
accum_add_96,432,vmcnt,random_stable,100,100,0,0,0.0000
accum_and_16,110,vmcnt,random_stable,100,100,0,0,0.0000
accum_and_32,164,vmcnt,random_stable,100,100,0,0,0.0000
accum_and_32,182,vmcnt,random_stable,100,100,0,0,0.0000
accum_and_4,44,vmcnt,random_stable,100,100,0,0,0.0000
accum_and_64,323,vmcnt,random_stable,100,100,0,0,0.0000
accum_and_64,345,vmcnt,random_stable,100,100,0,0,0.0000
accum_and_64,375,vmcnt,random_stable,100,100,0,0,0.0000
accum_and_64,420,vmcnt,random_stable,100,100,0,0,0.0000
accum_and_8,63,vmcnt,random_stable,100,100,0,0,0.0000
accum_and_96,478,vmcnt,random_stable,100,100,0,0,0.0000
accum_or_16,95,vmcnt,random_stable,100,100,0,0,0.0000
accum_or_32,147,vmcnt,random_stable,100,100,0,0,0.0000
accum_or_64,295,vmcnt,random_stable,100,100,0,0,0.0000
accum_or_64,330,vmcnt,random_stable,100,99,1,0,0.0100
accum_or_64,337,vmcnt,random_stable,100,100,0,0,0.0000
accum_sub_64,265,vmcnt,random_stable,100,100,0,0,0.0000
accum_sub_64,307,vmcnt,random_stable,100,100,0,0,0.0000
accum_sub_64,310,vmcnt,random_stable,100,100,0,0,0.0000
accum_sub_64,320,vmcnt,random_stable,100,100,0,0,0.0000
accum_sub_64,322,vmcnt,random_stable,100,100,0,0,0.0000
accum_sub_64,335,vmcnt,random_stable,100,100,0,0,0.0000
accum_sub_96,151,lgkmcnt,random_stable,100,100,0,0,0.0000
accum_sub_96,477,vmcnt,random_stable,100,100,0,0,0.0000
accum_xor_96,410,vmcnt,random_stable,100,100,0,0,0.0000
load_compute_store_4,41,lgkmcnt,random_stable,100,100,0,0,0.0000
loop_accum_add_128,273,vmcnt,random_stable,100,100,0,0,0.0000
loop_accum_add_64,123,vmcnt,random_stable,100,100,0,0,0.0000
loop_accum_add_64,163,vmcnt,random_stable,100,96,4,0,0.0400
loop_accum_add_64,166,vmcnt,random_stable,100,100,0,0,0.0000
loop_accum_xor_128,238,vmcnt,random_stable,100,100,0,0,0.0000
loop_accum_xor_128,281,vmcnt,random_stable,100,100,0,0,0.0000
loop_accum_xor_128,286,vmcnt,random_stable,100,100,0,0,0.0000
loop_accum_xor_32,62,vmcnt,random_stable,100,34,66,0,0.6600
regs_pressure_32,99,vmcnt,random_stable,100,100,0,0,0.0000
regs_pressure_64,136,vmcnt,random_stable,100,100,0,0,0.0000
regs_pressure_64,151,vmcnt,random_stable,100,100,0,0,0.0000
regs_pressure_64,166,vmcnt,random_stable,100,100,0,0,0.0000
regs_pressure_64,216,vmcnt,random_stable,100,100,0,0,0.0000
