family,waitcnt_kind,total,bm_tested,bm_diverge,bm_match,bm_skip,divergence_rate_pct
accum_n_distinct,lgkmcnt,95,42,9,33,53,21.4
accum_n_distinct,vmcnt,597,597,19,578,0,3.2
deep_chain,lgkmcnt,3,3,3,0,0,100.0
deep_chain,vmcnt,115,112,112,0,3,100.0
load_compute_store,lgkmcnt,8,5,0,5,3,0.0
load_compute_store,vmcnt,28,4,4,0,24,100.0
load_overwrite,lgkmcnt,1,1,1,0,0,100.0
loop_accum,lgkmcnt,10,10,10,0,0,100.0
loop_accum,vmcnt,188,188,20,168,0,10.6
mixed_const,lgkmcnt,15,15,15,0,0,100.0
mixed_const,vmcnt,15,15,15,0,0,100.0
regs_pressure,lgkmcnt,2,2,1,1,0,50.0
regs_pressure,vmcnt,93,93,1,92,0,1.1
rmw,lgkmcnt,18,18,18,0,0,100.0
rmw,vmcnt,18,18,18,0,0,100.0
rmw_idx,lgkmcnt,12,12,12,0,0,100.0
rmw_idx,vmcnt,12,12,12,0,0,100.0
store_chain,lgkmcnt,12,2,0,2,10,0.0
store_reload,lgkmcnt,6,6,6,0,0,100.0
store_then_load,lgkmcnt,1,1,1,0,0,100.0
two_buf,lgkmcnt,12,0,0,0,12,0.0
two_buf,vmcnt,6,6,6,0,0,100.0
