counter,N,count,percent_of_counter
vmcnt,0,1718,54.66
vmcnt,1,110,3.50
vmcnt,2,62,1.97
vmcnt,3,18,0.57
vmcnt,4,52,1.65
vmcnt,5,18,0.57
vmcnt,6,52,1.65
vmcnt,7,14,0.45
vmcnt,8,45,1.43
vmcnt,9,10,0.32
vmcnt,10,47,1.50
vmcnt,11,10,0.32
vmcnt,12,45,1.43
vmcnt,13,10,0.32
vmcnt,14,45,1.43
vmcnt,15,8,0.25
vmcnt,16,35,1.11
vmcnt,17,8,0.25
vmcnt,18,35,1.11
vmcnt,19,8,0.25
vmcnt,20,35,1.11
vmcnt,21,8,0.25
vmcnt,22,35,1.11
vmcnt,23,8,0.25
vmcnt,24,35,1.11
vmcnt,25,8,0.25
vmcnt,26,35,1.11
vmcnt,27,7,0.22
vmcnt,28,35,1.11
vmcnt,29,8,0.25
vmcnt,30,35,1.11
vmcnt,31,6,0.19
vmcnt,32,25,0.80
vmcnt,33,5,0.16
vmcnt,34,25,0.80
vmcnt,35,5,0.16
vmcnt,36,25,0.80
vmcnt,37,5,0.16
vmcnt,38,25,0.80
vmcnt,39,5,0.16
vmcnt,40,25,0.80
vmcnt,41,5,0.16
vmcnt,42,25,0.80
vmcnt,43,5,0.16
vmcnt,44,34,1.08
vmcnt,45,5,0.16
vmcnt,46,29,0.92
vmcnt,47,5,0.16
vmcnt,48,25,0.80
vmcnt,49,6,0.19
vmcnt,50,25,0.80
vmcnt,51,5,0.16
vmcnt,52,26,0.83
vmcnt,53,5,0.16
vmcnt,54,26,0.83
vmcnt,55,6,0.19
vmcnt,56,27,0.86
vmcnt,57,13,0.41
vmcnt,58,36,1.15
vmcnt,59,9,0.29
vmcnt,60,26,0.83
vmcnt,61,10,0.32
vmcnt,62,40,1.27
lgkmcnt,0,1547,96.69
lgkmcnt,1,5,0.31
lgkmcnt,2,3,0.19
lgkmcnt,3,9,0.56
lgkmcnt,4,15,0.94
lgkmcnt,5,7,0.44
lgkmcnt,6,4,0.25
lgkmcnt,7,7,0.44
lgkmcnt,8,2,0.12
lgkmcnt,62,1,0.06
vscnt,0,1449,100.00
